,Hero,Entry,Move,Weapon,HP,Atk,Spd,Def,Res,Total,Link,Color,Version,Book,ReleaseDate
21,Alm: Powerful Resolve,Echoes,Infantry,Colorless Bow,41,47,47,30,28,193,https://feheroes.fandom.com/wiki/Alm:_Powerful_Resolve,Colorless,9.3,9,2025-03-18
22,Alm: Saint-King,Echoes,Infantry,Colorless Bow,40,37,37,26,22,162,https://feheroes.fandom.com/wiki/Alm:_Saint-King,Colorless,3.4,3,2019-04-27
23,Altena: Luminous Rider,Genealogy of the Holy War,Flying,Blue Lance,45,37,25,39,20,166,https://feheroes.fandom.com/wiki/Altena:_Luminous_Rider,Blue,4.1,4,2020-01-09
24,Altina: Cross-Time Duo,Path of Radiance,Infantry,Red Sword,42,40,18,37,39,176,https://feheroes.fandom.com/wiki/Altina:_Cross-Time_Duo,Red,5.0,5,2020-12-17
25,Altina: Dawn's Trueblade,Radiant Dawn,Flying,Red Sword,42,38,20,30,36,166,https://feheroes.fandom.com/wiki/Altina:_Dawn%27s_Trueblade,Red,3.11,3,2019-11-28
26,Altina: Unrivaled Dawn,Radiant Dawn,Infantry,Green Axe,42,47,16,42,46,193,https://feheroes.fandom.com/wiki/Altina:_Unrivaled_Dawn,Green,8.1,8,2024-01-19
27,Amelia: Blossoming Talent,The Sacred Stones,Armored,Blue Lance,45,46,46,37,33,207,https://feheroes.fandom.com/wiki/Amelia:_Blossoming_Talent,Blue,8.7,8,2024-07-16
28,Amelia: Rose of the War,The Sacred Stones,Armored,Green Axe,47,34,34,35,23,173,https://feheroes.fandom.com/wiki/Amelia:_Rose_of_the_War,Green,1.6,1,2017-08-15
29,Anankos: Seething Silence,Fates,Armored,Blue Breath,42,43,44,36,31,196,https://feheroes.fandom.com/wiki/Anankos:_Seething_Silence,Blue,7.5,7,2023-05-09
30,Anna: Commander,Heroes,Infantry,Green Axe,41,29,38,22,28,158,https://feheroes.fandom.com/wiki/Anna:_Commander,Green,1.0,1,2017-02-02
31,Anna: Secret Charmer,Awakening,Cavalry,Green Bow,38,43,46,22,25,174,https://feheroes.fandom.com/wiki/Anna:_Secret_Charmer,Green,7.5,7,2023-05-19
32,Anna: Secret Seller,Awakening,Infantry,Blue Lance,38,35,40,28,31,172,https://feheroes.fandom.com/wiki/Anna:_Secret_Seller,Blue,4.6,4,2020-06-05
33,Anna: Twice the Anna,Awakening,Flying,Green Axe,40,44,47,31,27,189,https://feheroes.fandom.com/wiki/Anna:_Twice_the_Anna,Green,7.1,7,2023-10-05
34,Anna: Wealth-Wisher,Heroes,Infantry,Red Bow,40,34,40,16,37,167,https://feheroes.fandom.com/wiki/Anna:_Wealth-Wisher,Red,4.0,4,2020-01-01
35,Annand: Knight-Defender,Genealogy of the Holy War,Flying,Red Sword,37,35,39,27,34,172,https://feheroes.fandom.com/wiki/Annand:_Knight-Defender,Red,5.2,5,2021-02-16
36,Annette: Festive Helper,Three Houses,Armored,Colorless Bow,43,43,23,40,41,190,https://feheroes.fandom.com/wiki/Annette:_Festive_Helper,Colorless,7.0,7,2022-12-16
37,Annette: Overachiever,Three Houses,Infantry,Green Axe,40,39,36,28,30,173,https://feheroes.fandom.com/wiki/Annette:_Overachiever,Green,4.3,4,2020-03-06
38,Arden: Strong and Tough,Genealogy of the Holy War,Armored,Red Sword,60,36,16,41,16,169,https://feheroes.fandom.com/wiki/Arden:_Strong_and_Tough,Red,1.8,1,2017-10-23
39,Ares: Black Knight,Genealogy of the Holy War,Cavalry,Red Sword,40,36,30,33,18,157,https://feheroes.fandom.com/wiki/Ares:_Black_Knight,Red,2.5,2,2018-05-10
40,Arete: Requiem's Beauty,Fates,Cavalry,Red Tome,41,36,27,20,34,158,https://feheroes.fandom.com/wiki/Arete:_Requiem%27s_Beauty,Red,5.7,5,2021-07-20
41,Arion: Gungnir's Heir,Genealogy of the Holy War,Flying,Blue Lance,41,45,36,46,21,189,https://feheroes.fandom.com/wiki/Arion:_Gungnir%27s_Heir,Blue,7.9,7,2023-09-16
42,Arlen: Mage of Khadein,Shadow Dragon / (New) Mystery,Infantry,Colorless Tome,41,42,45,38,17,183,https://feheroes.fandom.com/wiki/Arlen:_Mage_of_Khadein,Colorless,8.3,8,2024-03-15
43,Arthur: Furious Mage,Genealogy of the Holy War,Infantry,Green Tome,40,42,41,30,18,171,https://feheroes.fandom.com/wiki/Arthur:_Furious_Mage,Green,6.4,6,2022-04-18
44,Arthur: Hapless Hero,Fates,Infantry,Green Axe,43,32,29,30,24,158,https://feheroes.fandom.com/wiki/Arthur:_Hapless_Hero,Green,1.0,1,2017-02-02
45,Artur: Silver Saint,The Sacred Stones,Armored,Green Tome,43,41,19,35,41,179,https://feheroes.fandom.com/wiki/Artur:_Silver_Saint,Green,6.0,6,2021-12-16
46,Arval: Cycle Keeper,Three Houses,Infantry,Colorless Tome,40,44,27,23,43,177,https://feheroes.fandom.com/wiki/Arval:_Cycle_Keeper,Colorless,6.1,6,2022-10-31
47,Arvis: Emperor of Flame,Genealogy of the Holy War,Infantry,Red Tome,33,34,31,17,33,148,https://feheroes.fandom.com/wiki/Arvis:_Emperor_of_Flame,Red,1.8,1,2017-10-18
48,Asbel: Windswept Youth,Thracia 776,Infantry,Green Tome,40,36,42,21,26,165,https://feheroes.fandom.com/wiki/Asbel:_Windswept_Youth,Green,5.1,5,2021-01-08
49,Ash: Borrowed Power,Heroes,Infantry,Colorless Beast,45,48,18,49,44,204,https://feheroes.fandom.com/wiki/Ash:_Borrowed_Power,Colorless,9.9,9,2025-09-16
50,Ash: Earnest Greetings,Heroes,Infantry,Blue Beast,41,44,19,44,40,188,https://feheroes.fandom.com/wiki/Ash:_Earnest_Greetings,Blue,7.0,7,2023-01-01
51,Ash: Retainer to Askr,Heroes,Infantry,Colorless Beast,41,39,27,41,34,182,https://feheroes.fandom.com/wiki/Ash:_Retainer_to_Askr,Colorless,6.0,6,2021-12-07
52,Ashe: Budding Chivalry,Three Houses,Flying,Red Dagger,40,43,46,32,17,178,https://feheroes.fandom.com/wiki/Ashe:_Budding_Chivalry,Red,7.3,7,2023-03-07
53,Ashe: Chivalric Amends,Three Houses,Cavalry,Green Bow,39,44,47,27,28,185,https://feheroes.fandom.com/wiki/Ashe:_Chivalric_Amends,Green,8.1,8,2024-10-15
54,Ashe: Fabled Sea Knight,Three Houses,Cavalry,Blue Lance,40,37,41,32,18,168,https://feheroes.fandom.com/wiki/Ashe:_Fabled_Sea_Knight,Blue,5.6,5,2021-06-21
55,Ashera: Order Goddess,Radiant Dawn,Infantry,Colorless Tome,37,35,39,15,40,166,https://feheroes.fandom.com/wiki/Ashera:_Order_Goddess,Colorless,5.5,5,2021-05-31
56,Ashnard: Mad King,Path of Radiance,Flying,Red Sword,43,37,21,35,31,167,https://feheroes.fandom.com/wiki/Ashnard:_Mad_King,Red,4.5,4,2020-05-09
57,Askr: God of Openness,Heroes,Infantry,Colorless Beast,40,43,26,43,31,183,https://feheroes.fandom.com/wiki/Askr:_God_of_Openness,Colorless,6.7,6,2022-07-26
58,Askr: Open Harvest,Heroes,Infantry,Colorless Beast,42,48,16,48,45,199,https://feheroes.fandom.com/wiki/Askr:_Open_Harvest,Colorless,8.1,8,2024-10-04
59,Askr: Renewed Gods,Heroes,Infantry,Colorless Tome,40,42,16,42,37,177,https://feheroes.fandom.com/wiki/Askr:_Renewed_Gods,Colorless,7.0,7,2023-01-01
60,Astram: Midia's Hero,Shadow Dragon / (New) Mystery,Infantry,Red Sword,44,35,36,36,21,172,https://feheroes.fandom.com/wiki/Astram:_Midia%27s_Hero,Red,3.9,3,2019-09-23
61,Astrid: Resolute Damsel,Path of Radiance,Cavalry,Green Bow,38,39,41,27,23,168,https://feheroes.fandom.com/wiki/Astrid:_Resolute_Damsel,Green,5.11,5,2021-11-17
62,Athena: Borderland Sword,Shadow Dragon / (New) Mystery,Infantry,Red Sword,36,31,38,27,24,156,https://feheroes.fandom.com/wiki/Athena:_Borderland_Sword,Red,1.4,1,2017-06-14
63,Athos: Omniscient One,The Blazing Blade,Infantry,Blue Tome,40,49,18,32,49,188,https://feheroes.fandom.com/wiki/Athos:_Omniscient_One,Blue,9.1,9,2025-01-28
64,Atlas: Forest Muscle,Echoes,Infantry,Green Axe,46,43,37,34,27,187,https://feheroes.fandom.com/wiki/Atlas:_Forest_Muscle,Green,6.7,6,2022-07-19
65,August: Astute Tactician,Thracia 776,Infantry,Colorless Staff,40,40,17,32,43,172,https://feheroes.fandom.com/wiki/August:_Astute_Tactician,Colorless,6.3,6,2022-03-18
66,Aversa: Dark One,Awakening,Flying,Red Tome,42,33,34,17,24,150,https://feheroes.fandom.com/wiki/Aversa:_Dark_One,Red,2.1,2,2018-10-25
67,Ayra: Astra's Wielder,Genealogy of the Holy War,Infantry,Red Sword,41,33,37,31,21,163,https://feheroes.fandom.com/wiki/Ayra:_Astra%27s_Wielder,Red,1.8,1,2017-10-19
68,Ayra: Supreme Astra,Genealogy of the Holy War,Infantry,Red Sword,40,46,48,34,31,199,https://feheroes.fandom.com/wiki/Ayra:_Supreme_Astra,Red,9.1,9,2025-01-28
69,Ayra: Together in Tea,Genealogy of the Holy War,Cavalry,Red Sword,40,44,46,32,17,179,https://feheroes.fandom.com/wiki/Ayra:_Together_in_Tea,Red,7.8,7,2023-08-08
70,Azama: Carefree Monk,Fates,Infantry,Colorless Staff,43,21,26,32,25,147,https://feheroes.fandom.com/wiki/Azama:_Carefree_Monk,Colorless,1.0,1,2017-02-02
71,Azelle: Youthful Flame,Genealogy of the Holy War,Infantry,Red Tome,41,37,39,26,23,166,https://feheroes.fandom.com/wiki/Azelle:_Youthful_Flame,Red,5.2,5,2021-02-16
72,Azura: Celebratory Spirit,Fates,Flying,Green Axe,37,30,35,22,26,150,https://feheroes.fandom.com/wiki/Azura:_Celebratory_Spirit,Green,2.0,2,2017-12-31
73,Azura: Hatari Duet,Path of Radiance,Cavalry,Green Tome,37,37,39,16,23,152,https://feheroes.fandom.com/wiki/Azura:_Hatari_Duet,Green,6.1,6,2022-01-17
74,Azura: Lady of Ballads,Fates,Infantry,Green Axe,35,32,34,20,28,149,https://feheroes.fandom.com/wiki/Azura:_Lady_of_Ballads,Green,1.7,1,2017-09-29
75,Azura: Lady of the Lake,Fates,Infantry,Blue Lance,36,31,33,21,28,149,https://feheroes.fandom.com/wiki/Azura:_Lady_of_the_Lake,Blue,1.0,1,2017-02-02
76,Azura: Song's Reflection,Fates,Cavalry,Green Axe,38,45,46,18,28,175,https://feheroes.fandom.com/wiki/Azura:_Song%27s_Reflection,Green,8.4,8,2024-04-15
77,Azura: Vallite Songstress,Fates,Flying,Blue Tome,33,30,35,17,24,139,https://feheroes.fandom.com/wiki/Azura:_Vallite_Songstress,Blue,3.0,3,2018-12-28
78,Azura: Young Songstress,Fates,Infantry,Green Tome,36,33,29,17,25,140,https://feheroes.fandom.com/wiki/Azura:_Young_Songstress,Green,2.11,2,2018-11-12
79,Baldr: Celestial Sun God,Heroes,Flying,Red Sword,41,47,48,30,28,194,https://feheroes.fandom.com/wiki/Baldr:_Celestial_Sun_God,Red,9.7,9,2025-07-29
80,Baldr: Rays of Judgment,Heroes,Flying,Blue Bow,42,48,48,32,25,195,https://feheroes.fandom.com/wiki/Baldr:_Rays_of_Judgment,Blue,9.8,9,2025-08-15
81,Balthus: King of Grappling,Three Houses,Infantry,Green Axe,47,42,24,37,31,181,https://feheroes.fandom.com/wiki/Balthus:_King_of_Grappling,Green,5.9,5,2021-09-17
82,Balthus: Summer's Big Bet,Three Houses,Infantry,Blue Lance,47,49,31,45,26,198,https://feheroes.fandom.com/wiki/Balthus:_Summer%27s_Big_Bet,Blue,9.7,9,2025-07-08
83,Bantu: Tiki's Guardian,Shadow Dragon / (New) Mystery,Infantry,Red Breath,45,34,28,35,26,168,https://feheroes.fandom.com/wiki/Bantu:_Tiki%27s_Guardian,Red,3.9,3,2019-09-19
84,Barst: The Hatchet,Shadow Dragon / (New) Mystery,Infantry,Green Axe,46,33,32,30,17,158,https://feheroes.fandom.com/wiki/Barst:_The_Hatchet,Green,1.0,1,2017-02-02
85,Bartre: Earsome Warrior,The Binding Blade,Infantry,Red Sword,46,40,26,35,25,172,https://feheroes.fandom.com/wiki/Bartre:_Earsome_Warrior,Red,4.3,4,2020-03-20
86,Bartre: Fearless Warrior,The Binding Blade,Infantry,Green Axe,49,36,25,33,13,156,https://feheroes.fandom.com/wiki/Bartre:_Fearless_Warrior,Green,1.0,1,2017-02-02
87,Basilio: Feroxi West-Khan,Awakening,Infantry,Green Axe,48,43,33,36,21,181,https://feheroes.fandom.com/wiki/Basilio:_Feroxi_West-Khan,Green,6.0,6,2021-12-07
88,Bastian: Crimea's Keystone,Radiant Dawn,Infantry,Green Tome,40,44,28,20,45,177,https://feheroes.fandom.com/wiki/Bastian:_Crimea%27s_Keystone,Green,7.2,7,2023-02-17
89,Benny: Sensitive Soul,Fates,Armored,Blue Lance,48,35,23,44,34,184,https://feheroes.fandom.com/wiki/Benny:_Sensitive_Soul,Blue,5.7,5,2021-07-19
90,Berkut: Debonair Noble,Echoes,Infantry,Blue Lance,41,36,23,37,24,161,https://feheroes.fandom.com/wiki/Berkut:_Debonair_Noble,Blue,3.9,3,2019-09-06
91,Berkut: Prideful Prince,Echoes,Cavalry,Blue Lance,43,34,22,31,24,154,https://feheroes.fandom.com/wiki/Berkut:_Prideful_Prince,Blue,1.5,1,2017-07-18
92,Berkut: Purgatorial Prince,Echoes,Cavalry,Blue Lance,40,35,17,35,30,157,https://feheroes.fandom.com/wiki/Berkut:_Purgatorial_Prince,Blue,3.5,3,2019-05-10
93,Bernadetta: Eternal Loner,Three Houses,Cavalry,Colorless Bow,38,32,38,22,26,156,https://feheroes.fandom.com/wiki/Bernadetta:_Eternal_Loner,Colorless,4.3,4,2020-03-06
94,Bernadetta: Frosty Shut-In,Three Houses,Cavalry,Green Tome,39,36,40,19,23,157,https://feheroes.fandom.com/wiki/Bernadetta:_Frosty_Shut-In,Green,5.0,5,2020-12-17
95,Bernadetta: Late Hibernator,Three Houses,Cavalry,Blue Bow,39,43,47,20,25,174,https://feheroes.fandom.com/wiki/Bernadetta:_Late_Hibernator,Blue,7.3,7,2023-03-07
96,Bernadetta: Sheltered Loner,Three Houses,Cavalry,Blue Bow,40,45,48,24,28,185,https://feheroes.fandom.com/wiki/Bernadetta:_Sheltered_Loner,Blue,8.8,8,2024-08-16
97,Bertram: Dread Cavalier,Path of Radiance,Cavalry,Red Sword,45,37,27,38,26,173,https://feheroes.fandom.com/wiki/Bertram:_Dread_Cavalier,Red,5.11,5,2021-11-18
98,Beruka: Quiet Assassin,Fates,Flying,Green Axe,46,29,23,37,22,157,https://feheroes.fandom.com/wiki/Beruka:_Quiet_Assassin,Green,1.0,1,2017-02-02
99,Black Knight: Mortal Legend,Radiant Dawn,Armored,Red Sword,47,49,16,49,46,207,https://feheroes.fandom.com/wiki/Black_Knight:_Mortal_Legend,Red,9.5,9,2025-05-30
100,Black Knight: Sinister General,Path of Radiance,Armored,Red Sword,48,34,34,35,18,169,https://feheroes.fandom.com/wiki/Black_Knight:_Sinister_General,Red,1.7,1,2017-09-23
101,Black Knight: The Night's Blade,Path of Radiance,Armored,Green Axe,43,44,44,35,30,196,https://feheroes.fandom.com/wiki/Black_Knight:_The_Night%27s_Blade,Green,7.0,7,2022-12-16
102,Boey: Skillful Survivor,Echoes,Infantry,Green Tome,43,29,27,32,18,149,https://feheroes.fandom.com/wiki/Boey:_Skillful_Survivor,Green,1.3,1,2017-05-15
103,Bors: Ostia's Bastion,The Binding Blade,Armored,Blue Lance,51,47,34,48,25,205,https://feheroes.fandom.com/wiki/Bors:_Ostia%27s_Bastion,Blue,8.11,8,2024-11-15
104,Boyd: Future Great,Path of Radiance,Infantry,Green Axe,50,43,36,31,21,181,https://feheroes.fandom.com/wiki/Boyd:_Future_Great,Green,6.4,6,2022-04-07
105,Brady: Daunting Priest,Awakening,Infantry,Colorless Staff,41,33,32,23,28,157,https://feheroes.fandom.com/wiki/Brady:_Daunting_Priest,Colorless,3.6,3,2019-06-11
106,Bramimond: The Enigma,The Blazing Blade,Infantry,Colorless Tome,39,40,27,21,35,162,https://feheroes.fandom.com/wiki/Bramimond:_The_Enigma,Colorless,4.3,4,2020-03-31
107,Brigand Boss: Known Criminal,Echoes,Infantry,Green Axe,45,42,35,35,24,181,https://feheroes.fandom.com/wiki/Brigand_Boss:_Known_Criminal,Green,6.7,6,2022-07-20
108,Brigid: Awakened Bow,Genealogy of the Holy War,Infantry,Green Bow,40,46,48,34,25,193,https://feheroes.fandom.com/wiki/Brigid:_Awakened_Bow,Green,9.1,9,2025-01-07
109,Brigid: Orgahil Pirate,Genealogy of the Holy War,Infantry,Red Bow,41,37,40,30,19,167,https://feheroes.fandom.com/wiki/Brigid:_Orgahil_Pirate,Red,4.8,4,2020-08-07
110,Brunnya: Devoted General,The Binding Blade,Infantry,Blue Tome,42,35,31,21,33,162,https://feheroes.fandom.com/wiki/Brunnya:_Devoted_General,Blue,3.11,3,2019-11-22
111,Bruno: Masked Hare,Heroes,Cavalry,Colorless Staff,41,30,24,35,14,144,https://feheroes.fandom.com/wiki/Bruno:_Masked_Hare,Colorless,3.3,3,2019-03-19
112,Bruno: Masked Knight,Heroes,Cavalry,Blue Tome,40,45,48,22,30,185,https://feheroes.fandom.com/wiki/Bruno:_Masked_Knight,Blue,9.8,9,2025-08-16
113,Bruno: Masked Reveler,Heroes,Armored,Green Tome,43,41,38,29,34,185,https://feheroes.fandom.com/wiki/Bruno:_Masked_Reveler,Green,7.0,7,2022-12-16
114,Byleth: Anchor of Hope,Three Houses,Infantry,Red Sword,41,47,48,38,30,204,https://feheroes.fandom.com/wiki/Byleth:_Anchor_of_Hope,Red,9.8,9,2025-08-15
115,Byleth: Fell Star's Duo,Three Houses,Flying,Red Tome,40,36,42,16,21,155,https://feheroes.fandom.com/wiki/Byleth:_Fell_Star%27s_Duo,Red,4.7,4,2020-07-08
116,Byleth: Fount of Learning,Three Houses,Infantry,Blue Tome,40,42,44,25,26,177,https://feheroes.fandom.com/wiki/Byleth:_Fount_of_Learning,Blue,7.1,7,2023-01-10
117,Byleth: Frosty Professors,Three Houses,Armored,Red Sword,47,46,18,45,46,202,https://feheroes.fandom.com/wiki/Byleth:_Frosty_Professors,Red,8.0,8,2023-12-14
118,Byleth: Proven Professor,Three Houses,Infantry,Red Sword,40,34,40,33,21,168,https://feheroes.fandom.com/wiki/Byleth:_Proven_Professor,Red,3.7,3,2019-07-22
119,Byleth: Sublime Light,Three Houses,Flying,Colorless Tome,39,41,43,26,24,173,https://feheroes.fandom.com/wiki/Byleth:_Sublime_Light,Colorless,6.8,6,2022-08-17
120,Byleth: Tested Professor,Three Houses,Infantry,Red Sword,40,36,38,34,20,168,https://feheroes.fandom.com/wiki/Byleth:_Tested_Professor,Red,3.7,3,2019-07-26
121,Byleth: The Fódlan Light,Three Houses,Infantry,Blue Tome,40,39,43,23,26,171,https://feheroes.fandom.com/wiki/Byleth:_The_F%C3%B3dlan_Light,Blue,6.0,6,2021-12-24
122,Byleth: The Fódlan Star,Three Houses,Infantry,Green Tome,40,39,41,25,21,166,https://feheroes.fandom.com/wiki/Byleth:_The_F%C3%B3dlan_Star,Green,5.6,5,2021-06-30
123,Byleth: Vengeance Vessel,Three Houses,Infantry,Red Sword,40,44,47,32,25,188,https://feheroes.fandom.com/wiki/Byleth:_Vengeance_Vessel,Red,7.5,7,2023-05-09
124,Caeda: Beloved Queen,Shadow Dragon / (New) Mystery,Flying,Blue Lance,39,38,43,27,31,178,https://feheroes.fandom.com/wiki/Caeda:_Beloved_Queen,Blue,6.2,6,2022-02-28
125,Caeda: Marth's Faithful,Shadow Dragon / (New) Mystery,Infantry,Blue Lance,40,42,47,30,34,193,https://feheroes.fandom.com/wiki/Caeda:_Marth%27s_Faithful,Blue,8.3,8,2024-03-15
126,Caeda: Princess of Talys,Shadow Dragon / (New) Mystery,Flying,Red Sword,36,33,42,25,30,166,https://feheroes.fandom.com/wiki/Caeda:_Princess_of_Talys,Red,4.4,4,2020-04-20
127,Caeda: Sea-Blossom Pair,Heroes,Cavalry,Green Axe,39,33,42,26,28,168,https://feheroes.fandom.com/wiki/Caeda:_Sea-Blossom_Pair,Green,5.7,5,2021-07-07
128,Caeda: Talys's Bride,Shadow Dragon / (New) Mystery,Infantry,Blue Tome,33,29,37,19,30,148,https://feheroes.fandom.com/wiki/Caeda:_Talys%27s_Bride,Blue,1.3,1,2017-05-30
129,Caeda: Talys's Heart,Shadow Dragon / (New) Mystery,Flying,Red Sword,36,25,37,24,34,156,https://feheroes.fandom.com/wiki/Caeda:_Talys%27s_Heart,Red,1.0,1,2017-02-02
130,Caeldori: Perfect Angel,Fates,Flying,Blue Lance,39,40,44,30,31,184,https://feheroes.fandom.com/wiki/Caeldori:_Perfect_Angel,Blue,7.0,7,2022-12-07
131,Caellach: Tiger Eye,The Sacred Stones,Infantry,Green Axe,45,40,27,31,33,176,https://feheroes.fandom.com/wiki/Caellach:_Tiger_Eye,Green,5.0,5,2020-12-08
132,Cain: The Bull,Shadow Dragon / (New) Mystery,Cavalry,Red Sword,42,32,32,27,21,154,https://feheroes.fandom.com/wiki/Cain:_The_Bull,Red,1.0,1,2017-02-02
133,Caineghis: Gallia's Lion King,Radiant Dawn,Armored,Colorless Beast,47,37,23,37,30,174,https://feheroes.fandom.com/wiki/Caineghis:_Gallia%27s_Lion_King,Colorless,3.4,3,2019-04-10
134,Camilla: Alluring Darkness,Fates,Flying,Green Tome,40,45,46,22,25,178,https://feheroes.fandom.com/wiki/Camilla:_Alluring_Darkness,Green,8.0,8,2023-12-25
135,Camilla: Bewitching Beauty,Fates,Flying,Green Axe,37,30,32,28,31,158,https://feheroes.fandom.com/wiki/Camilla:_Bewitching_Beauty,Green,1.0,1,2017-02-02
136,Camilla: Flower of Fantasy,Fates,Flying,Red Tome,36,37,30,17,30,150,https://feheroes.fandom.com/wiki/Camilla:_Flower_of_Fantasy,Red,2.11,2,2018-11-09
137,Camilla: Holiday Traveler,Fates,Flying,Red Sword,40,33,35,31,23,162,https://feheroes.fandom.com/wiki/Camilla:_Holiday_Traveler,Red,2.0,2,2017-12-31
138,Camilla: Light of Nohr,Fates,Flying,Colorless Staff,39,33,37,21,25,155,https://feheroes.fandom.com/wiki/Camilla:_Light_of_Nohr,Colorless,3.8,3,2019-08-16
139,Camilla: Midnight Bloom,Fates,Flying,Red Tome,38,43,19,32,40,172,https://feheroes.fandom.com/wiki/Camilla:_Midnight_Bloom,Red,6.11,6,2022-11-08
140,Camilla: Spring Princess,Fates,Flying,Green Tome,39,35,25,30,19,148,https://feheroes.fandom.com/wiki/Camilla:_Spring_Princess,Green,1.1,1,2017-03-30
141,Camilla: Steamy Secrets,Fates,Flying,Colorless Dagger,38,33,35,17,28,151,https://feheroes.fandom.com/wiki/Camilla:_Steamy_Secrets,Colorless,3.1,3,2019-01-26
142,Camilla: Tropical Beauty,Fates,Flying,Blue Tome,39,33,36,23,19,150,https://feheroes.fandom.com/wiki/Camilla:_Tropical_Beauty,Blue,2.7,2,2018-07-10
143,Camilla: Young Beauty,Fates,Flying,Green Axe,40,46,48,35,25,194,https://feheroes.fandom.com/wiki/Camilla:_Young_Beauty,Green,9.4,9,2025-04-04
144,Camus: Sable Knight,Shadow Dragon / (New) Mystery,Cavalry,Blue Lance,42,32,33,31,17,155,https://feheroes.fandom.com/wiki/Camus:_Sable_Knight,Blue,1.3,1,2017-06-02
145,Canas: Wisdom Seeker,The Blazing Blade,Infantry,Red Tome,36,32,29,21,33,151,https://feheroes.fandom.com/wiki/Canas:_Wisdom_Seeker,Red,2.6,2,2018-06-16
